book,count
Matt,1165
John,1004
Luke,1003
Mark,428
Ps,123
1Cor,108
Isa,86
Rom,70
Gen,49
Exod,44
2Cor,34
Prov,26
Eph,24
Heb,24
Acts,23
2Pet,21
Deut,21
Gal,19
1Kgs,18
Jer,18
1Tim,18
Rev,18
Col,18
Ezek,17
Phil,16
Num,15
Job,14
1Pet,13
1John,10
Hos,9
2Kgs,9
Titus,8
2Thess,8
Lev,7
Josh,7
Mal,7
Dan,7
Jas,6
1Chr,6
Zech,5
1Thess,5
Jude,4
Wis,4
Jdt,4
2Tim,4
Eccl,4
Sir,4
1Sam,3
2Sam,3
Amos,2
Song,2
Lam,2
Judg,2
Jonah,1
Hab,1
2Macc,1
Esth,1
Ezra,1
Joel,1
