book,count
Matt,330
Isa,278
Ps,210
Luke,192
John,165
Gen,164
1Cor,151
Rom,113
Exod,84
Acts,79
Jer,66
Deut,64
Eph,58
Gal,49
1Pet,47
Rev,46
Prov,42
Num,42
2Cor,41
Phil,33
1Tim,33
Dan,32
Heb,29
Mark,29
Ezek,27
Col,27
Zech,23
2Tim,22
1Kgs,15
Jas,15
Job,15
2Thess,14
1Sam,14
Mal,13
Hos,12
Titus,11
1John,11
2Pet,10
Josh,9
1Thess,8
Jonah,7
Hab,7
2Sam,7
Lev,7
Judg,7
Amos,6
Wis,5
2Kgs,5
Mic,5
Joel,4
2Chr,3
Jude,3
Song,3
2John,3
Jdt,2
Tob,2
Sus,2
Sir,2
Lam,2
Bar,2
3John,1
Esth,1
Phlm,1
1Chr,1
Eccl,1
Zeph,1
Hag,1
