book,count
Matt,268
Ps,116
Gen,93
Luke,92
John,59
Acts,50
Rom,46
1Cor,45
Isa,42
Deut,41
Exod,34
Rev,24
Prov,23
Mark,23
2Cor,21
Sir,20
Jer,16
Eph,15
1Tim,14
Gal,13
Hos,12
2Tim,12
Dan,11
Num,11
Wis,11
1Sam,11
Phil,11
Jas,11
Eccl,9
Ezek,9
Col,9
1Pet,9
Josh,8
Heb,8
1Kgs,6
Lev,5
Judg,5
Tob,5
Job,5
1Thess,4
2Thess,4
2Kgs,4
Lam,4
Mic,4
Hab,3
Zech,3
Song,3
1Chr,2
2Macc,2
Mal,2
2Chr,2
Bar,1
Sus,1
1Macc,1
Joel,1
Bel,1
2Sam,1
Jude,1
Jdt,1
Esth,1
