author_id,work_id,book,testament_group,osis_ref,passage
schaff,anf03,Matt,new_testament,Bible:Matt.15.22,"Matt. xv.
22"
schaff,anf03,Judg,old_testament_or_other,Bible:Judg.9.2,Judg. ix. 2
schaff,anf03,2Kgs,old_testament_or_other,Bible:2Kgs.14.9,"2 Kings (4
Kings in LXX. and Vulg.) xiv. 9"
schaff,anf03,Bel,deuterocanonical,Bible:Bel.1.1852,Bel. 1852
schaff,anf03,Ezek,old_testament_or_other,Bible:Ezek.36,"Ezek.
xxxvi."
tertullian,apology,Isa,old_testament_or_other,Bible:Isa.6.10,Isa. vi. 10
tertullian,apology,Heb,new_testament,Bible:Heb.10.22,Heb. x. 22
tertullian,apology,Matt,new_testament,Bible:Matt.5.44,Matt. v. 44
tertullian,apology,1Tim,new_testament,Bible:1Tim.2.2,1 Tim. ii. 2
tertullian,apology,John,new_testament,Bible:John.21.19,John xxi. 19
tertullian,apology,1Thess,new_testament,Bible:1Thess.5.18,1 Thess. v. 18
tertullian,apology,1John,new_testament,Bible:1John.5.7,"1 John v.
7"
tertullian,apology,Matt,new_testament,Bible:Matt.27.45,Matt. xxvii. 45
tertullian,apology,Acts,new_testament,Bible:Acts.15.20,Acts xv. 20
tertullian,apology,Phil,new_testament,Bible:Phil.4.8,Philippians iv. 8
tertullian,apology,Gal,new_testament,Bible:Gal.5.12,Galatians v. 12
tertullian,apology,Eph,new_testament,Bible:Eph.5.5,Ephesians v. 5
tertullian,idolatry,Ezek,old_testament_or_other,Bible:Ezek.23,Ezek. xxiii
tertullian,idolatry,Matt,new_testament,Bible:Matt.5.28,Matt. v. 28
tertullian,idolatry,Matt,new_testament,Bible:Matt.5.22,Matt. v. 22
tertullian,idolatry,1John,new_testament,Bible:1John.3.15,1 John. iii. 15
tertullian,idolatry,Rev,new_testament,Bible:Rev.2.24,Rev. ii. 24
tertullian,idolatry,Matt,new_testament,Bible:Matt.5.20,Matt. v. 20
