book,total_count,volume_1_count,volume_2_count,volume_3_count
Gen,365,164,64,137
Exod,229,84,53,92
Lev,51,7,23,21
Num,70,42,12,16
Deut,183,64,60,59
Josh,14,9,1,4
Judg,16,7,5,4
Ruth,0,0,0,0
1Sam,42,14,8,20
2Sam,20,7,2,11
1Kgs,37,15,7,15
2Kgs,29,5,4,20
1Chr,1,1,0,0
2Chr,5,3,1,1
Ezra,0,0,0,0
Neh,1,0,1,0
Tob,6,2,3,1
Jdt,3,2,1,0
Esth,2,1,0,1
AddEsth,0,0,0,0
1Macc,2,0,0,2
2Macc,2,0,1,1
Job,37,15,17,5
Ps,624,210,189,225
Prov,219,42,156,21
Eccl,9,1,5,3
Song,4,3,0,1
Wis,32,5,23,4
Sir,58,2,56,0
Isa,740,278,132,330
Jer,159,66,50,43
Lam,7,2,2,3
Bar,7,2,4,1
EpJer,0,0,0,0
Ezek,72,27,23,22
Dan,79,32,13,34
AddDan,0,0,0,0
PrAzar,0,0,0,0
Sus,3,2,0,1
Bel,1,0,0,1
Hos,34,12,10,12
Joel,19,4,3,12
Amos,26,6,6,14
Obad,0,0,0,0
Jonah,12,7,1,4
Mic,12,5,3,4
Nah,3,0,1,2
Hab,16,7,4,5
Zeph,2,1,1,0
Hag,4,1,2,1
Zech,52,23,6,23
Mal,28,13,7,8
Matt,915,330,265,320
Mark,80,29,32,19
Luke,757,192,133,432
John,487,165,96,226
Acts,199,79,37,83
Rom,381,113,134,134
1Cor,601,151,190,260
2Cor,171,41,56,74
Gal,183,49,39,95
Eph,191,58,61,72
Phil,87,33,22,32
Col,86,27,26,33
1Thess,46,8,14,24
2Thess,33,14,5,14
1Tim,106,33,40,33
2Tim,55,22,11,22
Titus,32,11,12,9
Phlm,2,1,1,0
Heb,94,29,45,20
Jas,44,15,25,4
1Pet,116,47,54,15
2Pet,14,10,2,2
1John,97,11,58,28
2John,5,3,2,0
3John,2,1,0,1
Jude,27,3,24,0
Rev,133,46,29,58
