author_id,work_id,book,testament_group,osis_ref,passage
anonymous,patriarch_testaments,Rev,new_testament,Bible:Rev.7.4,Rev. vii. 4
anonymous,patriarch_testaments,Rev,new_testament,Bible:Rev.4.4,Rev. iv. 4
anonymous,patriarch_testaments,Acts,new_testament,Bible:Acts.26.7,Acts xxvi. 7
anonymous,patriarch_testaments,Acts,new_testament,Bible:Acts.21.18-Acts.21.26,Acts xxi. 18–26
anonymous,patriarch_testaments,Dan,old_testament_or_other,Bible:Dan.10.3,Dan. x. 3
anonymous,patriarch_testaments,Gen,old_testament_or_other,Bible:Gen.35.22,Gen. xxxv. 22
anonymous,patriarch_testaments,Gen,old_testament_or_other,Bible:Gen.35.21,ver. 21
anonymous,patriarch_testaments,Dan,old_testament_or_other,Bible:Dan.4.10-Dan.4.23,"iv. 10, 14,
20: 13, 17, 23, Eng. Ver."
anonymous,patriarch_testaments,Gen,old_testament_or_other,Bible:Gen.6.4,Gen. vi. 4
anonymous,patriarch_testaments,1Cor,new_testament,Bible:1Cor.11.10 Bible:Jude.1.6 Bible:Jude.1.7,"1 Cor. xi. 10; Jude 6, 7"
anonymous,patriarch_testaments,Gen,old_testament_or_other,Bible:Gen.23.9,"Gen. xxiii.
9"
anonymous,patriarch_testaments,Gen,old_testament_or_other,Bible:Gen.29.33,Gen. xxix. 33
anonymous,patriarch_testaments,Gen,old_testament_or_other,Bible:Gen.37.19,Gen. xxxvii. 19
anonymous,patriarch_testaments,Gen,old_testament_or_other,Bible:Gen.42.24,Gen. xlii. 24
anonymous,patriarch_testaments,Gen,old_testament_or_other,Bible:Gen.37.22 Bible:Gen.37.29 Bible:Gen.42.22,"Gen. xxxvii. 22, 29; xlii. 22"
anonymous,patriarch_testaments,Gen,old_testament_or_other,Bible:Gen.49.7,Gen. xlix. 7
anonymous,patriarch_testaments,Deut,old_testament_or_other,Bible:Deut.2.23 Bible:Amos.9.7,Deut. ii. 23; Amos ix. 7
