book,count
1Cor,259
Matt,258
Ps,182
Gen,126
Rom,125
John,125
Isa,95
Luke,76
2Cor,63
Exod,59
Eph,55
Acts,53
Deut,47
Heb,46
Gal,44
1Tim,35
Ezek,33
Phil,29
1John,29
Jer,29
Rev,25
Lev,25
Prov,25
Col,22
Job,22
Dan,21
2Tim,19
1Kgs,19
Wis,17
1Pet,16
1Sam,14
Mark,14
1Thess,13
Eccl,11
Num,11
2Thess,10
Sir,8
Hos,7
Zech,7
2Kgs,7
Mic,7
Titus,6
2Pet,5
Lam,5
Tob,5
Jude,4
2Sam,4
Jas,4
Mal,4
Song,3
Hag,3
Amos,3
Jonah,3
Judg,3
1Chr,3
Hab,2
Joel,2
Sus,2
Bel,1
Josh,1
2Chr,1
2Macc,1
Zeph,1
