author_id,work_id,book,testament_group,osis_ref,passage
hippolytus,refutation,1Kgs,old_testament_or_other,Bible:1Kgs.12.14,1 Kings xii. 14
hippolytus,refutation,Rom,new_testament,Bible:Rom.11.17-Rom.11.21,Rom. xi. 17–21
hippolytus,refutation,John,new_testament,Bible:John.1.9,John i. 9
hippolytus,refutation,Gen,old_testament_or_other,Bible:Gen.1.3,Gen. i. 3
hippolytus,refutation,Acts,new_testament,Bible:Acts.13.28,Acts xiii. 28
hippolytus,refutation,Job,old_testament_or_other,Bible:Job.1.7,Job i. 7
hippolytus,refutation,Matt,new_testament,Bible:Matt.7.14,"Matt. vii.
14"
hippolytus,refutation,Isa,old_testament_or_other,Bible:Isa.53.8,Isa. liii. 8
hippolytus,refutation,Gal,new_testament,Bible:Gal.3.28,Gal. iii. 28
hippolytus,refutation,2Cor,new_testament,Bible:2Cor.5.17 Bible:Gal.6.15,"2 Cor. v. 17; Gal. vi
15"
hippolytus,refutation,Rom,new_testament,Bible:Rom.1.20-Rom.1.27,"Rom. i.
20–27"
hippolytus,refutation,Luke,new_testament,Bible:Luke.17.21,Luke xvii. 21
hippolytus,refutation,Prov,old_testament_or_other,Bible:Prov.24.16 Bible:Luke.17.4,"Prov. xxiv. 16; Luke xvii.
4"
hippolytus,refutation,Matt,new_testament,Bible:Matt.19.17 Bible:Mark.10.18 Bible:Luke.18.19,"Matt. xix. 17; Mark x. 18;
Luke xviii. 19"
hippolytus,refutation,Matt,new_testament,Bible:Matt.5.45,Matt. v. 45
hippolytus,refutation,Matt,new_testament,Bible:Matt.5.15 Bible:Matt.10.27,Matt. v. 15; x. 27
hippolytus,refutation,Ps,old_testament_or_other,Bible:Ps.2.9,Ps. ii. 9
hippolytus,refutation,Eph,new_testament,Bible:Eph.5.14,Eph. v. 14
hippolytus,refutation,Rom,new_testament,Bible:Rom.10.18,Rom. x. 18
hippolytus,refutation,Ps,old_testament_or_other,Bible:Ps.118.22 Bible:Isa.28.16,"Ps. cxviii. 22; Isa. xxviii.
16"
hippolytus,refutation,Eph,new_testament,Bible:Eph.3.15,Eph. iii. 15
