author_id,work_id,book,testament_group,osis_ref,passage
anonymous,gospel_peter,Matt,new_testament,Bible:Matt.10.17,Matthew x. 17
anonymous,gospel_peter,Matt,new_testament,Bible:Matt.24.27,Matt. xxiv. 27
anonymous,gospel_peter,John,new_testament,Bible:John.19.31,John xix. 31
anonymous,gospel_peter,Matt,new_testament,Bible:Matt.27.66,Matt. xxvii. 66
anonymous,gospel_peter,Matt,new_testament,Bible:Matt.27,Matthew xxvii.
anonymous,gospel_peter,Mark,new_testament,Bible:Mark.15,Mark xv.
anonymous,gospel_peter,Luke,new_testament,Bible:Luke.23,Luke xxiii.
anonymous,gospel_peter,Luke,new_testament,Bible:Luke.23.7,Lk. xxiii. 7
anonymous,gospel_peter,Luke,new_testament,Bible:Luke.22.66,Lk. xxii. 66
anonymous,gospel_peter,Acts,new_testament,Bible:Acts.4.27,Acts iv. 27
anonymous,gospel_peter,Luke,new_testament,Bible:Luke.23.12,Lk. xxiii. 12
anonymous,gospel_peter,John,new_testament,Bible:John.19,John xix.
anonymous,gospel_peter,Luke,new_testament,Bible:Luke.23.7,Luke xxiii. 7
anonymous,gospel_peter,Luke,new_testament,Bible:Luke.22.66 Bible:Acts.4.27,"Luke xxii. 66; Acts iv.
27"
anonymous,gospel_peter,Luke,new_testament,Bible:Luke.23.12,Luke xxiii. 12
anonymous,gospel_peter,Matt,new_testament,Bible:Matt.9.15,Mt. ix. 15
anonymous,gospel_peter,Mark,new_testament,Bible:Mark.2.20,Mk. ii. 20
anonymous,gospel_peter,Mark,new_testament,Bible:Mark.16.10,Mk. xvi. 10
anonymous,gospel_peter,Matt,new_testament,Bible:Matt.9.15 Bible:Mark.2.20,"Matt. ix. 15; Mark ii.
20"
anonymous,gospel_peter,Mark,new_testament,Bible:Mark.16.10,Mark xvi. 10
anonymous,gospel_peter,Matt,new_testament,Bible:Matt.27.24,Mt. xxvii. 24
anonymous,gospel_peter,Mark,new_testament,Bible:Mark.2.14,Mk. ii. 14
tatian,diatessaron,John,new_testament,Bible:John.1.1,John i. 1
tatian,diatessaron,Mark,new_testament,Bible:Mark.1,Mark i.
tatian,diatessaron,John,new_testament,Bible:John.1.2,John i. 2
tatian,diatessaron,John,new_testament,Bible:John.1.3,John i. 3
tatian,diatessaron,John,new_testament,Bible:John.1.4,John i. 4
tatian,diatessaron,John,new_testament,Bible:John.1.5,John i. 5
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.5,Luke i. 5
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.6,Luke i. 6
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.7,Luke i. 7
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.8,Luke i. 8
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.9,Luke i. 9
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.10,Luke i. 10
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.11,Luke i. 11
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.12,Luke i. 12
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.13,Luke i. 13
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.14,Luke i. 14
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.15,Luke i. 15
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.16,Luke i. 16
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.17,Luke i. 17
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.18,Luke i. 18
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.19,Luke i. 19
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.20,Luke i. 20
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.21,Luke i. 21
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.22,Luke i. 22
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.23,Luke i. 23
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.24,Luke i. 24
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.25,Luke i. 25
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.26,Luke i. 26
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.27,Luke i. 27
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.28,Luke i. 28
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.29,Luke i. 29
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.30,Luke i. 30
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.31,Luke i. 31
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.32,Luke i. 32
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.33,Luke i. 33
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.34,Luke i. 34
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.35,Luke i. 35
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.36,Luke i. 36
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.37,Luke i. 37
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.38,Luke i. 38
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.39,Luke i. 39
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.40,Luke i. 40
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.41,Luke i. 41
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.42,Luke i. 42
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.43,Luke i. 43
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.44,Luke i. 44
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.45,Luke i. 45
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.46,Luke i. 46
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.47,Luke i. 47
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.48,Luke i. 48
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.49,Luke i. 49
tatian,diatessaron,Luke,new_testament,Bible:Luke.1.50,Luke i. 50
