book,count
Matt,279
John,248
Ps,235
Isa,209
Luke,123
1Cor,117
Gen,115
Rev,94
Prov,85
Rom,74
Acts,74
Jer,68
Exod,60
Eph,50
Deut,47
Gal,42
Dan,42
1John,39
Ezek,39
Sir,37
1Tim,33
2Cor,32
Phil,31
Col,30
Mark,26
1Pet,23
Wis,22
Num,20
2Tim,18
Mal,17
1Sam,16
2Pet,16
Heb,16
Job,15
Hos,15
Lev,13
1Kgs,12
Tob,12
2Thess,10
Zech,10
Mic,10
Josh,9
Song,9
Titus,9
2Macc,9
Eccl,8
1Thess,7
Joel,7
2Kgs,6
1Macc,6
Zeph,6
Amos,5
Jude,5
Hab,5
2Chr,4
Bar,4
Lam,4
Judg,3
Jas,3
1Chr,2
Hag,2
2Sam,2
Neh,1
Nah,1
2John,1
