author_id,work_id,book,testament_group,osis_ref,passage
lactantius,institutes,1John,new_testament,Bible:1John.4.8,1 John iv. 8
lactantius,institutes,1Kgs,old_testament_or_other,Bible:1Kgs.18.28,1 Kings xviii. 28
lactantius,institutes,Rom,new_testament,Bible:Rom.1.22,Rom. i. 22
lactantius,institutes,Rom,new_testament,Bible:Rom.1.19-Rom.1.21,Rom. i. 19–21
lactantius,institutes,1Cor,new_testament,Bible:1Cor.2.7,1 Cor. ii. 7
lactantius,institutes,1Cor,new_testament,Bible:1Cor.2.14,1 Cor ii. 14
lactantius,institutes,Ps,old_testament_or_other,Bible:Ps.15.5,Ps. cxv. 5
lactantius,institutes,Ps,old_testament_or_other,Bible:Ps.48.6,Ps. cxlviii. 6
lactantius,institutes,2Cor,new_testament,Bible:2Cor.4.6,2 Cor. iv. 6
lactantius,institutes,Col,new_testament,Bible:Col.3.10,Col. iii. 10
lactantius,institutes,Eph,new_testament,Bible:Eph.4.24,Eph. iv. 24
lactantius,institutes,1Thess,new_testament,Bible:1Thess.4.14,1 Thess. iv. 14
lactantius,institutes,John,new_testament,Bible:John.5.29,John v. 29
lactantius,institutes,Acts,new_testament,Bible:Acts.24.15,Acts xxiv. 15
lactantius,institutes,Eccl,old_testament_or_other,Bible:Eccl.3.18-Eccl.3.21,Eccles. iii. 18–21
lactantius,institutes,Eccl,old_testament_or_other,Bible:Eccl.12.7,Eccles. xii. 7
lactantius,institutes,2Cor,new_testament,Bible:2Cor.4.4,2 Cor. iv. 4
lactantius,institutes,Gen,old_testament_or_other,Bible:Gen.2,Gen. ii.
lactantius,institutes,Gen,old_testament_or_other,Bible:Gen.3.17,Gen. iii. 17
lactantius,institutes,Gen,old_testament_or_other,Bible:Gen.3.24,Gen. iii. 24
lactantius,institutes,Gen,old_testament_or_other,Bible:Gen.6.3,Gen. vi. 3
lactantius,institutes,Gen,old_testament_or_other,Bible:Gen.9.23,Gen. ix. 23
lactantius,institutes,Gen,old_testament_or_other,Bible:Gen.9.25,Gen. ix. 25
lactantius,institutes,Acts,new_testament,Bible:Acts.19.13,Acts xix. 13
lactantius,institutes,John,new_testament,Bible:John.8.34,John viii. 34
