book,count
Matt,265
1Cor,190
Ps,189
Prov,156
Rom,134
Luke,133
Isa,132
John,96
Gen,64
Eph,61
Deut,60
1John,58
2Cor,56
Sir,56
1Pet,54
Exod,53
Jer,50
Heb,45
1Tim,40
Gal,39
Acts,37
Mark,32
Rev,29
Col,26
Jas,25
Jude,24
Ezek,23
Lev,23
Wis,23
Phil,22
Job,17
1Thess,14
Dan,13
Num,12
Titus,12
2Tim,11
Hos,10
1Sam,8
1Kgs,7
Mal,7
Zech,6
Amos,6
2Thess,5
Eccl,5
Judg,5
Hab,4
Bar,4
2Kgs,4
Mic,3
Tob,3
Joel,3
2John,2
2Esd,2
Lam,2
2Sam,2
Hag,2
2Pet,2
Neh,1
Phlm,1
Josh,1
Nah,1
Zeph,1
2Chr,1
Jdt,1
Jonah,1
2Macc,1
