author_id,work_id,book,testament_group,osis_ref,passage
origen,against_celsus,Eph,new_testament,Bible:Eph.5.16,Eph. v. 16
origen,against_celsus,Job,old_testament_or_other,Bible:Job.2.10,Job ii. 10
origen,against_celsus,Isa,old_testament_or_other,Bible:Isa.45.7,Isa. xlv. 7
origen,against_celsus,Mic,old_testament_or_other,Bible:Mic.1.12-Mic.1.13,"Mic. i. 12, 13"
origen,against_celsus,Mic,old_testament_or_other,Bible:Mic.1.12,Mic. i. 12
origen,against_celsus,Ps,old_testament_or_other,Bible:Ps.89.32,Ps. lxxxix. 32
origen,against_celsus,Gal,new_testament,Bible:Gal.5.8,Gal. v. 8
origen,against_celsus,Isa,old_testament_or_other,Bible:Isa.1.19-Isa.1.20,"Isa. i. 19, 20"
origen,against_celsus,Deut,old_testament_or_other,Bible:Deut.10.12-Deut.10.13,"Deut. x. 12, 13"
origen,against_celsus,Gen,old_testament_or_other,Bible:Gen.6.5-Gen.6.7,Gen. vi. 5–7
origen,against_celsus,John,new_testament,Bible:John.1.9,John i. 9
origen,against_celsus,John,new_testament,Bible:John.16.33,John xvi. 33
origen,against_celsus,2Cor,new_testament,Bible:2Cor.4.18,2 Cor. iv. 18
origen,against_celsus,Rom,new_testament,Bible:Rom.1.20,Rom. i. 20
origen,against_celsus,Ps,old_testament_or_other,Bible:Ps.33.9,Ps. xxxiii. 9
origen,against_celsus,Gen,old_testament_or_other,Bible:Gen.2.4,Gen. ii. 4
origen,against_celsus,Gen,old_testament_or_other,Bible:Gen.2.2-Gen.2.3,"Gen. ii. 2, 3"
origen,against_celsus,Ps,old_testament_or_other,Bible:Ps.19.1,Ps. xix. 1
origen,against_celsus,Ps,old_testament_or_other,Bible:Ps.102.25,Ps. cii. 25
origen,against_celsus,Isa,old_testament_or_other,Bible:Isa.1.20,Isa. i. 20
origen,against_celsus,Exod,old_testament_or_other,Bible:Exod.20.18,Ex. xx. 18
origen,against_celsus,Lev,old_testament_or_other,Bible:Lev.11.44,Lev. xi. 44
origen,against_celsus,Eph,new_testament,Bible:Eph.5.1,Eph. v. 1
origen,against_celsus,Deut,old_testament_or_other,Bible:Deut.5.31,Deut. v. 31
origen,against_celsus,Gen,old_testament_or_other,Bible:Gen.3.8,Gen. iii. 8
origen,against_celsus,Col,new_testament,Bible:Col.1.15,Col. i. 15
origen,against_celsus,Rom,new_testament,Bible:Rom.11.36,Rom. xi. 36
origen,against_celsus,Matt,new_testament,Bible:Matt.4.16,Matt. iv. 16
origen,against_celsus,2Cor,new_testament,Bible:2Cor.5.16,2 Cor. v. 16
origen,against_celsus,John,new_testament,Bible:John.1.14,John i. 14
origen,against_celsus,Heb,new_testament,Bible:Heb.12.29,Heb. xii. 29
origen,against_celsus,2Cor,new_testament,Bible:2Cor.3.5-2Cor.3.6,"2 Cor. iii. 5, 6"
origen,against_celsus,John,new_testament,Bible:John.4.21 Bible:John.4.24,"John iv. 21, 24"
origen,against_celsus,2Cor,new_testament,Bible:2Cor.3.17,2 Cor. iii. 17
origen,against_celsus,1Cor,new_testament,Bible:1Cor.2.14,1 Cor. ii. 14
origen,against_celsus,Isa,old_testament_or_other,Bible:Isa.53.1-Isa.53.3,Isa. liii. 1–3
origen,against_celsus,Ps,old_testament_or_other,Bible:Ps.45.3-Ps.45.4,"Ps. xlv. 3, 4"
origen,against_celsus,Luke,new_testament,Bible:Luke.9.31,Luke ix. 31
origen,against_celsus,1Chr,old_testament_or_other,Bible:1Chr.16.22 Bible:Ps.105.15,"1 Chron. xvi. 22 and Ps. cv.
15"
origen,against_celsus,1Cor,new_testament,Bible:1Cor.5.1,1 Cor. v. 1
origen,against_celsus,Rom,new_testament,Bible:Rom.11.11-Rom.11.12,"Rom. xi. 11, 12"
origen,against_celsus,Ps,old_testament_or_other,Bible:Ps.54.6,Ps. liv. 6
origen,against_celsus,Heb,new_testament,Bible:Heb.11.37-Heb.11.38,"Heb. xi. 37, 38"
origen,against_celsus,Isa,old_testament_or_other,Bible:Isa.20.3,Isa. xx. 3
origen,against_celsus,Dan,old_testament_or_other,Bible:Dan.1.16,Dan. i. 16
origen,against_celsus,Gen,old_testament_or_other,Bible:Gen.9.25-Gen.9.27,Gen. ix. 25–27
origen,against_celsus,Gen,old_testament_or_other,Bible:Gen.49.1,Gen. xlix. 1
origen,against_celsus,Wis,deuterocanonical,Bible:Wis.1.5,Wisd. of Sol. i. 5
origen,against_celsus,2Kgs,old_testament_or_other,Bible:2Kgs.9.11,2 Kings ix. 11
origen,against_celsus,Isa,old_testament_or_other,Bible:Isa.53.2-Isa.53.3,"Isa. liii. 2, 3"
origen,against_celsus,John,new_testament,Bible:John.12.31 Bible:John.16.11,John xii. 31 and xvi. 11
origen,against_celsus,Ps,old_testament_or_other,Bible:Ps.24.19,Ps. xxiv. 19
