author_id,book,count
caius,1John,1
caius,Eph,1
caius,Col,1
cyprian,Matt,170
cyprian,Ps,142
cyprian,Isa,120
cyprian,John,106
cyprian,1Cor,83
cyprian,Luke,83
cyprian,Rev,57
cyprian,Jer,54
cyprian,Rom,49
cyprian,Prov,48
cyprian,Acts,44
cyprian,Exod,40
cyprian,Sir,35
cyprian,Eph,30
cyprian,1John,30
cyprian,Gal,28
cyprian,Deut,26
cyprian,Ezek,25
cyprian,Gen,24
cyprian,2Cor,24
cyprian,Mark,20
cyprian,Phil,19
cyprian,1Tim,18
cyprian,Wis,18
cyprian,1Pet,17
cyprian,Num,16
cyprian,2Tim,15
cyprian,Col,13
cyprian,Lev,12
cyprian,Mal,12
cyprian,Tob,11
cyprian,Dan,11
cyprian,Job,11
cyprian,1Sam,9
cyprian,Hos,9
cyprian,2Macc,9
cyprian,Heb,8
cyprian,1Kgs,8
cyprian,2Thess,7
cyprian,Titus,7
cyprian,Josh,7
cyprian,Song,7
cyprian,Mic,6
cyprian,Zech,6
cyprian,Joel,5
cyprian,Hab,5
cyprian,1Thess,5
cyprian,Zeph,5
cyprian,Eccl,5
cyprian,2Pet,4
cyprian,Lam,4
cyprian,1Macc,4
cyprian,Amos,3
cyprian,Jude,2
cyprian,2Chr,2
cyprian,2Kgs,2
cyprian,Bar,2
cyprian,Hag,2
cyprian,Judg,2
cyprian,2Sam,2
cyprian,Jas,1
cyprian,Neh,1
cyprian,Nah,1
cyprian,1Chr,1
cyprian,2John,1
hippolytus,Matt,79
hippolytus,Ps,69
hippolytus,Gen,67
hippolytus,John,65
hippolytus,Isa,53
hippolytus,Prov,37
hippolytus,Dan,30
hippolytus,Rev,28
hippolytus,Luke,26
hippolytus,1Cor,19
hippolytus,Acts,18
hippolytus,Rom,15
hippolytus,Eph,15
hippolytus,Deut,14
hippolytus,Jer,12
hippolytus,Exod,12
hippolytus,Col,11
hippolytus,2Pet,11
hippolytus,Gal,9
hippolytus,Phil,8
hippolytus,1Tim,6
hippolytus,2Cor,5
hippolytus,1Sam,5
hippolytus,1Kgs,4
hippolytus,Job,4
hippolytus,Hos,4
hippolytus,1Pet,4
hippolytus,2Kgs,4
hippolytus,1John,4
hippolytus,Ezek,4
hippolytus,Wis,4
hippolytus,2Thess,3
hippolytus,2Tim,3
hippolytus,Mal,3
hippolytus,Mic,3
hippolytus,Heb,3
hippolytus,Josh,2
hippolytus,Num,2
hippolytus,Zech,2
hippolytus,Song,2
hippolytus,1Macc,2
hippolytus,Eccl,2
hippolytus,1Thess,2
hippolytus,Bar,2
hippolytus,2Chr,1
hippolytus,1Chr,1
hippolytus,Tob,1
hippolytus,Sir,1
hippolytus,Judg,1
hippolytus,Titus,1
hippolytus,Mark,1
hippolytus,Amos,1
hippolytus,Jude,1
hippolytus,Jas,1
novatian,John,77
novatian,Isa,36
novatian,Matt,30
novatian,Ps,24
novatian,Gen,24
novatian,1Cor,15
novatian,Luke,14
novatian,Acts,12
novatian,Rom,10
novatian,Ezek,10
novatian,1Tim,9
novatian,Rev,9
novatian,Exod,8
novatian,Deut,7
novatian,Heb,5
novatian,Gal,5
novatian,Col,5
novatian,Mark,5
novatian,Eph,4
novatian,1John,4
novatian,Phil,4
novatian,2Cor,3
novatian,Jer,2
novatian,Mal,2
novatian,Hos,2
novatian,1Pet,2
novatian,Joel,2
novatian,Jude,2
novatian,Zech,2
novatian,Num,2
novatian,1Sam,2
novatian,2Chr,1
novatian,Amos,1
novatian,Eccl,1
novatian,2Pet,1
novatian,Lev,1
novatian,Titus,1
novatian,Zeph,1
novatian,Mic,1
novatian,Jas,1
novatian,Dan,1
novatian,Sir,1
