author_id,work_id,book,testament_group,osis_ref,passage
hermas,pastor,Acts,new_testament,Bible:Acts.17.21,"Acts xvii.
21"
hermas,pastor,1Cor,new_testament,Bible:1Cor.14,1 Cor. xiv.
hermas,pastor,Acts,new_testament,Bible:Acts.16.16-Acts.16.19,Acts xvi. 16–19
hermas,pastor,Rom,new_testament,Bible:Rom.16.14,Rom. xvi. 14
hermas,pastor,Acts,new_testament,Bible:Acts.12.13,Acts xii. 13
hermas,pastor,Rev,new_testament,Bible:Rev.17.3,Rev. xvii. 3
hermas,pastor,Eph,new_testament,Bible:Eph.3.9-Eph.3.10,"Eph. iii. 9, 10"
hermas,pastor,Prov,old_testament_or_other,Bible:Prov.21.10,Prov. xxi. 10
hermas,pastor,Matt,new_testament,Bible:Matt.5.28,Matt. v. 28
hermas,pastor,Prov,old_testament_or_other,Bible:Prov.10.24,Prov. x. 24
hermas,pastor,Col,new_testament,Bible:Col.3.2,Col. iii. 2
hermas,pastor,Ps,old_testament_or_other,Bible:Ps.49.6,Ps. xlix. 6
hermas,pastor,Eph,new_testament,Bible:Eph.2.12,Eph. ii. 12
hermas,pastor,Job,old_testament_or_other,Bible:Job.42.8,Job xlii. 8
hermas,pastor,Mic,old_testament_or_other,Bible:Mic.6.6-Mic.6.8,"Mic. vi.  6, 7, 8"
hermas,pastor,1Sam,old_testament_or_other,Bible:1Sam.3.11 Bible:1Sam.3.14,"1 Sam. iii. 11,
14"
hermas,pastor,Neh,old_testament_or_other,Bible:Neh.9.17,Neh. ix. 17
hermas,pastor,Phil,new_testament,Bible:Phil.4.3,Phil. iv. 3
hermas,pastor,Rev,new_testament,Bible:Rev.20.15,Rev. xx. 15
hermas,pastor,Dan,old_testament_or_other,Bible:Dan.10.9,Dan. x. 9
hermas,pastor,Prov,old_testament_or_other,Bible:Prov.3.19,Prov. iii. 19
hermas,pastor,Ps,old_testament_or_other,Bible:Ps.24.2,Ps. xxiv. 2
hermas,pastor,Isa,old_testament_or_other,Bible:Isa.65.22,Isa. lxv. 22
hermas,pastor,1Cor,new_testament,Bible:1Cor.16.13,1 Cor. xvi. 13
hermas,pastor,Ezek,old_testament_or_other,Bible:Ezek.1.1,Ezek. i. 1
hermas,pastor,Ezek,old_testament_or_other,Bible:Ezek.2.9,Ezek. ii. 9
hermas,pastor,Rev,new_testament,Bible:Rev.10.4,Rev. x. 4
hermas,pastor,Jas,new_testament,Bible:Jas.3.5-Jas.3.10,Jas. iii. 5–10
hermas,pastor,Matt,new_testament,Bible:Matt.12.31,Matt. xii. 31
hermas,pastor,Gal,new_testament,Bible:Gal.2.17,Gal. ii. 17
hermas,pastor,Jas,new_testament,Bible:Jas.1.5,Jas. i. 5
